511
06700;6.116670;46.233340;420;GENEVE-COINTRIN;0;
06705;6.216670;46.400000;455;NYON / CHANGINS;0;
06709;6.850000;46.383340;375;BOUVERET;0;
06711;6.666670;46.500000;455;PULLY;0;
06712;6.916670;46.316670;381;AIGLE;0;
06715;7.026670;46.183060;482;EVIONNAZ;0;
06720;7.316670;46.216670;482;SION;0;
06731;7.600000;46.750000;560;THUN;0;
06734;7.866670;46.666670;577;INTERLAKEN;0;
06752;8.603060;46.320560;417;CEVIO;0;
06756;8.933340;46.450000;575;ACQUAROSSA / COMPROVASCO;0;
06758;9.150000;46.250000;382;GRONO;0;
06760;8.783340;46.166670;366;LOCARNO / MONTI;0;
06762;8.933340;46.150000;203;MAGADINO / CADENAZZO;0;
06770;8.950000;46.000000;273;LUGANO;0;
06771;8.916670;45.833340;353;STABIO;0;
06786;9.516670;46.866670;556;CHUR;0;
06990;9.516670;47.116670;457;VADUZ;0;
07002;1.599667;50.732500;73;BOULOGNE-SEM;62160001;
07003;1.622833;50.514500;5;LE-TOUQUET;62826001;
07005;1.834000;50.136000;69;ABBEVILLE;80001001;
07009;1.956167;50.959833;2;CALAIS-MARCK;62548002;
07010;2.339500;51.055833;11;DUNKERQUE;59183001;
07015;3.097500;50.570000;47;LILLE-LESQUIN;59343001;
07020;-1.939833;49.725167;6;PTE DE LA HAGUE;50020001;
07024;-1.463500;49.652667;134;GONNEVILLE;50209001;
07027;-0.456167;49.180000;67;CAEN-CARPIQUET;14137001;
07028;0.071167;49.509000;100;CAP-DE-LA-HEVE;76552001;
07031;0.167000;49.364500;139;ST GATIEN DES B;14578001;
07037;1.181667;49.383000;151;ROUEN-BOOS;76116001;
07038;1.221667;49.025000;138;EVREUX-HUEST;27347001;
07040;1.088833;49.932500;38;DIEPPE;76217001;
07046;0.091667;49.533000;94;OCTEVILLE;76481001;
07053;2.028500;49.090333;87;PONTOISE - AERO;95078001;
07055;2.127167;49.446500;89;BEAUVAIS-TILLE;60639001;
07057;2.520833;49.252167;88;CREIL;60175001;
07059;2.703833;49.971833;107;MEAULTE;80523001;
07061;3.206000;49.818333;98;ST QUENTIN;02320001;
07072;4.155333;49.209667;95;REIMS-PRUNAY;51449002;
07075;4.643167;49.782833;147;CHARLEVILLE-MEZ;08105005;
07093;6.243167;48.979333;260;M.N.L.;57251001;
07100;-5.057000;48.473333;64;OUESSANT-STIFF;29155005;
07106;-4.147167;48.525667;109;LANDIVISIAU;29264001;
07107;-4.331000;48.676500;9;BRIGNOGAN;29021001;
07109;-4.439333;48.279333;81;LANVEOC;29120001;
07110;-4.412000;48.444167;94;BREST-GUIPAVAS;29075001;
07117;-3.473167;48.825833;55;PLOUMANAC'H;22168001;
07118;-3.468667;48.755333;85;LANNAERO;22113006;
07120;-2.852000;48.534667;135;ST BRIEUC;22372001;
07125;-2.075833;48.589000;58;DINARD;35228001;
07130;-1.734000;48.068833;36;RENNES-ST JACQUES;35281001;
07134;-0.746500;48.030667;100;LAVAL-ETRONNIER;53130008;
07139;0.110167;48.445500;143;ALENCON;61001001;
07140;1.376667;48.061667;126;CHATEAUDUN;28198001;
07143;1.501167;48.460500;155;CHARTRES;28070001;
07145;2.009833;48.774333;167;TRAPPES;78621001;
07146;2.113500;48.750667;154;TOUSSUS LE NOBLE;78620001;
07147;2.205000;48.770000;174;VILLACOUBLAY;78640001;
07149;2.384333;48.716833;89;ORLY;91027002;
07150;2.427167;48.967333;49;LE BOURGET;95088001;
07153;2.679500;48.610333;91;MELUN;77306001;
07156;2.337833;48.821667;75;PARIS-MONTSOURIS;75114001;
07157;2.534333;49.015167;108;ROISSY;95527001;
07166;4.164667;48.777167;179;VATRY-AERO;51595002;
07168;4.020000;48.324667;112;TROYES-BARBEREY;10030001;
