GN33:Aguilar de Codés:1:Navarra:0:0
C056:Alegría:0:País Vasco:0:0
C069:Almike (Bermeo):0:País Vasco:0:0
C035:Altube:0:País Vasco:0:0
GN34:Aoiz:1:Navarra:0:0
GN22:Aralar:1:Navarra:0:0
GN23:Arangoiti:1:Navarra:0:0
C061:Arboleda:0:País Vasco:0:0
C001:Arkaute I:0:País Vasco:0:0
C023:Arrasate:0:País Vasco:0:0
C002:Arteaga:0:País Vasco:0:0
GN31:Bardenas (El Yugo):1:Navarra:0:0
GN26:Bardenas (Loma Negra):1:Navarra:0:0
C025:Beluntza:0:País Vasco:0:0
GN12:Beortegi:1:Navarra:0:0
C026:Berastegi:0:País Vasco:0:0
C058:Bidania:0:País Vasco:0:0
GN35:Carcastillo (La Oliva):1:Navarra:0:0
GN24:Carrascal:1:Navarra:0:0
C065:Cerroja:0:País Vasco:0:0
C003:Derio:0:País Vasco:0:0
C039:Deusto:0:País Vasco:0:0
GN42:Doneztebe-Santesteban:1:Navarra:0:0
C075:Eitzaga:0:País Vasco:0:0
GN28:El Perdón:1:Navarra:0:0
GN249:Erremendia (Salazar):1:Navarra:0:0
C034:Espejo:0:País Vasco:0:0
GN7:Estella:1:Navarra:0:0
C0AA:Etura:0:País Vasco:0:0
GN8:Etxarri-Aranatz:1:Navarra:0:0
C067:Gardea:0:País Vasco:0:0
C040:Gasteiz:0:País Vasco:0:0
GN246:Getadar:1:Navarra:0:0
GN25:Gorramendi:1:Navarra:0:0
C048:Herrera:0:País Vasco:0:0
C018:Higer:0:País Vasco:0:0
C033:Igorre:0:País Vasco:0:0
GN32:Irabia:1:Navarra:0:0
C024:Iturrieta:0:País Vasco:0:0
C036:Iurreta:0:País Vasco:0:0
C071:Jaizkibel:0:País Vasco:0:0
C047:Kapildui:0:País Vasco:0:0
C045:La Garbea:0:País Vasco:0:0
C0EC:Lasarte:0:País Vasco:0:0
C027:Llodio:0:País Vasco:0:0
C019:Matxitxako:0:País Vasco:0:0
C017:Miramon:0:País Vasco:0:0
C057:Mungia:0:País Vasco:0:0
C041:Navarrete:0:País Vasco:0:0
C046:Oiz:0:País Vasco:0:0
C043:Ordizia:0:País Vasco:0:0
