C056:Alegría:0:País Vasco:538895.318:4743461.227
C069:Almike (Bermeo):0:País Vasco:521674.35:4806574.736
C035:Altube:0:País Vasco:510769.406:4756847.006
C061:Arboleda:0:País Vasco:494526.858:4793551.114
C001:Arkaute I:0:País Vasco:530474.887:4744432.951
C023:Arrasate:0:País Vasco:541271.654:4768666.811
C002:Arteaga:0:País Vasco:527787.664:4799411.119
C025:Beluntza:0:País Vasco:508676.659:4756553.619
C026:Berastegi:0:País Vasco:582836.041:4774959.451
C058:Bidania:0:País Vasco:568711.408:4777155.266
C065:Cerroja:0:País Vasco:466928.418:4784131.501
C003:Derio:0:País Vasco:510268.217:4793159.245
C039:Deusto:0:País Vasco:502603.36:4792071.851
C075:Eitzaga:0:País Vasco:540560.876:4780278.83
C034:Espejo:0:País Vasco:496645.599:4739253.868
C0AA:Etura:0:País Vasco:540534.713:4748259.867
C067:Gardea:0:País Vasco:501606.688:4774729.505
C040:Gasteiz:0:País Vasco:525408.183:4745144.311
C048:Herrera:0:País Vasco:526567.622:4715992.519
C018:Higer:0:País Vasco:597499.279:4804975.303
C033:Igorre:0:País Vasco:517541.428:4779341.315
C024:Iturrieta:0:País Vasco:553504.647:4738101.77
C036:Iurreta:0:País Vasco:530722.709:4780315.083
C071:Jaizkibel:0:País Vasco:592423.869:4799504.159
C047:Kapildui:0:País Vasco:537811.796:4734945.731
C045:La Garbea:0:País Vasco:484268.959:4784711.068
C0EC:Lasarte:0:País Vasco:579464.265:4789128.505
C027:Llodio:0:País Vasco:504002.124:4776406.921
C019:Matxitxako:0:País Vasco:519131.207:4809437.969
C017:Miramon:0:País Vasco:583463.575:4793181.357
C057:Mungia:0:País Vasco:512395.447:4800923.081
C041:Navarrete:0:País Vasco:539090.465:4720516.718
C046:Oiz:0:País Vasco:532855.414:4786263.436
C043:Ordizia:0:País Vasco:566986.305:4766304.749
C059:Ordunte:0:País Vasco:476908.854:4778658.109
C072:Orduña:0:País Vasco:496961.952:4758787.549
C0B4:Orozko:0:País Vasco:506883.501:4770195.769
C054:Otxandio:0:País Vasco:527887.904:4765351.66
C060:Páganos:0:País Vasco:532790.826:4711872.767
C042:Punta Galea:0:País Vasco:497077.17:4802268.94
C021:Roitegi:0:País Vasco:551450.071:4736770.775
C030:Salvatierra:0:País Vasco:549395.796:4745035.925
C007:Santa Clara:0:País Vasco:581215.76:4797048.48
C051:Saratxo:0:País Vasco:499675.504:4764395.706
C020:Trebiño:0:País Vasco:524448.218:4729544.973
C022:Urkiola:0:País Vasco:528759.784:4771984.094
C070:Zaldiaran:0:País Vasco:521555.123:4738043.987
C050:Zambrana:0:País Vasco:509267.19:4724526.716
C064:Zarautz:0:País Vasco:569325.75:4793497.839
C028:Zegama:0:País Vasco:557216.355:4756261.067
C029:Zizurkil:0:País Vasco:576236.78:4782135.584
GN33:Aguilar de Codés:1:Navarra:549703:4718181
GN34:Aoiz:1:Navarra:633402:4739037
